序号,类型,名称,ID
1,"KnowledgePoint","CGI编程","course_advanced_ch_1_sec_3_kp_0"
2,"KnowledgePoint","JSON数据解析","course_advanced_ch_2_sec_0_kp_0"
3,"KnowledgePoint","Python3环境安装","course_basic_ch_0_sec_1_kp_0"
4,"KnowledgePoint","Python3简介","course_basic_ch_0_sec_0_kp_0"
5,"KnowledgePoint","Python3解释器","course_basic_ch_0_sec_0_kp_1"
6,"KnowledgePoint","__name__与__main__","course_basic_ch_1_sec_3_kp_0"
7,"KnowledgePoint","__name__属性","course_basic_ch_6_sec_0_kp_1"
8,"KnowledgePoint","return语句","course_basic_ch_4_sec_0_kp_3"
9,"KnowledgePoint","依赖隔离","course_basic_ch_9_sec_0_kp_1"
10,"KnowledgePoint","内置函数","course_advanced_ch_0_sec_0_kp_1"
11,"KnowledgePoint","内置方法","字典_kp_2"
12,"KnowledgePoint","函数定义与调用","course_basic_ch_4_sec_0_kp_0"
13,"KnowledgePoint","创建、访问与修改","字典_kp_1"
14,"KnowledgePoint","创建、访问与更新","字符串_kp_0"
15,"KnowledgePoint","创建、访问与更新","列表_kp_0"
16,"KnowledgePoint","包组织","course_basic_ch_6_sec_0_kp_2"
17,"KnowledgePoint","参数传递","course_basic_ch_4_sec_0_kp_1"
18,"KnowledgePoint","可变与不可变类型","course_basic_ch_2_sec_0_kp_1"
19,"KnowledgePoint","基本操作","元组_kp_1"
20,"KnowledgePoint","基本数据类型分类","course_basic_ch_2_sec_0_kp_0"
21,"KnowledgePoint","基础文件读写","course_basic_ch_1_sec_1_kp_1_kp_2"
22,"KnowledgePoint","常用操作符与方法","列表_kp_1"
23,"KnowledgePoint","必需参数与关键字参数","course_basic_ch_4_sec_0_kp_1_kp_0"
24,"KnowledgePoint","抛出与自定义异常","course_basic_ch_4_sec_6_kp_1"
25,"KnowledgePoint","数学运算与函数","数字_kp_1"
26,"KnowledgePoint","无序不重复特性","集合_kp_0"
27,"KnowledgePoint","显式类型转换函数","course_basic_ch_2_sec_2_kp_1"
28,"KnowledgePoint","模块概念与导入","course_basic_ch_6_sec_0_kp_0"
29,"KnowledgePoint","注释","course_basic_ch_1_sec_0_kp_1"
30,"KnowledgePoint","特性与创建","元组_kp_0"
31,"KnowledgePoint","第一个程序","course_basic_ch_1_sec_1_kp_0"
32,"KnowledgePoint","编码、标识符与关键字","course_basic_ch_1_sec_0_kp_0"
33,"KnowledgePoint","缩进、行与代码组","course_basic_ch_1_sec_0_kp_2"
34,"KnowledgePoint","输入与输出","course_basic_ch_1_sec_1_kp_1"
35,"KnowledgePoint","键值对结构","字典_kp_0"
36,"KnowledgePoint","隐式类型转换","course_basic_ch_2_sec_2_kp_0"
37,"KnowledgePoint","默认参数与不定长参数","course_basic_ch_4_sec_0_kp_1_kp_1"
38,"DataType","元组",""
39,"DataType","内置字符串函数",""
40,"DataType","列表",""
41,"DataType","列表、栈与队列实现",""
42,"DataType","列表推导式",""
43,"DataType","字典",""
44,"DataType","字典与集合推导式",""
45,"DataType","字符串",""
46,"DataType","嵌套列表解析",""
47,"DataType","数字",""
48,"DataType","整数、浮点数、复数",""
49,"DataType","集合",""
50,"DataType","集合运算",""
51,"Module","StringIO模块",""
52,"Module","_thread模块",""
53,"Module","asyncio模块",""
54,"Module","csv模块",""
55,"Module","datetime模块",""
56,"Module","hashlib模块",""
57,"Module","json模块",""
58,"Module","logging模块",""
59,"Module","math模块",""
60,"Module","operator模块",""
61,"Module","os模块文件与目录操作",""
62,"Module","pickle模块",""
63,"Module","queue模块",""
64,"Module","random模块",""
65,"Module","re模块",""
66,"Module","statistics模块",""
67,"Module","subprocess模块",""
68,"Module","sys模块",""
69,"Module","threading模块",""
70,"Module","time与calendar模块",""
71,"Module","urllib模块",""
72,"Function","for循环与range()","course_basic_ch_3_sec_1_kp_1"
73,"Function","input函数","course_basic_ch_1_sec_1_kp_1_kp_1"
74,"Function","lambda与map、filter、reduce","course_basic_ch_4_sec_1_kp_0"
75,"Function","open函数与文件对象","course_basic_ch_7_sec_0_kp_0"
76,"Function","print函数与格式化","course_basic_ch_1_sec_1_kp_1_kp_0"
77,"Function","生成器与yield","course_basic_ch_4_sec_5_kp_1"
78,"Concept","LEGB作用域查找规则","course_basic_ch_6_sec_1_kp_1"
79,"Concept","Markdown转换","course_advanced_ch_7_sec_1_kp_0"
80,"Concept","SMTP发送邮件","course_advanced_ch_1_sec_2_kp_0"
81,"Concept","XML解析","course_advanced_ch_2_sec_0_kp_1"
82,"Concept","匿名函数","course_basic_ch_4_sec_0_kp_2"
83,"Concept","局部、全局与内置命名空间","course_basic_ch_6_sec_1_kp_0"
84,"Concept","属性与方法","course_basic_ch_5_sec_0_kp_1"
85,"Concept","正则表达式","course_advanced_ch_2_sec_1_kp_0"
86,"Concept","生成器推导式","course_basic_ch_4_sec_2_kp_2"
87,"Concept","类与对象","course_basic_ch_5_sec_0_kp_0"
88,"Concept","继承与多态","course_basic_ch_5_sec_0_kp_2"
89,"Concept","网络编程","course_advanced_ch_1_sec_0_kp_0"
90,"Concept","迭代器","course_basic_ch_4_sec_5_kp_0"
91,"ControlStructure","break与continue","course_basic_ch_3_sec_1_kp_2_kp_0"
92,"ControlStructure","if, elif, else语句","course_basic_ch_3_sec_0_kp_0"
93,"ControlStructure","match…case语句","course_basic_ch_3_sec_0_kp_1"
94,"ControlStructure","pass与else子句","course_basic_ch_3_sec_1_kp_2_kp_1"
95,"ControlStructure","try, except, else, finally","course_basic_ch_4_sec_6_kp_0"
96,"ControlStructure","while循环","course_basic_ch_3_sec_1_kp_0"
97,"ControlStructure","with关键字","course_basic_ch_4_sec_7_kp_0"
98,"ControlStructure","循环控制语句","course_basic_ch_3_sec_1_kp_2"
99,"Operator","位运算符","course_basic_ch_1_sec_2_kp_4"
100,"Operator","成员运算符","course_basic_ch_1_sec_2_kp_5"
101,"Operator","比较运算符","course_basic_ch_1_sec_2_kp_1"
102,"Operator","算术运算符","course_basic_ch_1_sec_2_kp_0"
103,"Operator","赋值运算符","course_basic_ch_1_sec_2_kp_2"
104,"Operator","身份运算符","course_basic_ch_1_sec_2_kp_6"
105,"Operator","运算符与格式化","字符串_kp_1"
106,"Operator","逻辑运算符","course_basic_ch_1_sec_2_kp_3"
107,"Library","BeautifulSoup",""
108,"Library","MongoDB",""
109,"Library","MySQL - PyMySQL驱动",""
110,"Library","MySQL - mysql-connector驱动",""
111,"Library","OpenAI",""
112,"Library","PyQt",""
113,"Library","Scrapy库",""
114,"Library","pyecharts模块",""
115,"Library","requests模块",""
116,"Library","selenium库",""
117,"Library","uWSGI安装配置",""
118,"Tool","VScode配置",""
119,"Tool","pip",""
120,"Tool","venv创建与管理",""
